EAN;EK;sofortLieferbar;lieferbarAb;Menge;Lebenszyklus;Nachfolger
4007134018112;133.6;1;;;;
4007134018136;142.1;1;;;;
4007134018150;167;0;;;;
4007134018174;184;1;;;;
4007134018259;83.6;0;;;;
4007134018273;83.6;0;;;;
4007134018297;83.6;0;;;;
4007134018310;83.6;0;;;;
4007134018334;158.9;1;;;;
4007134018365;158.9;1;;;;
4007134018372;242;1;;;;
4007134018570;217.4;1;;;;
4007134018594;225.7;1;;;;
4007134018655;117;1;;;;
4007134018679;125.4;1;;;;
4007134018693;16.8;1;;;;
4007134018785;193.2;1;;;;
4007134018808;193.2;1;;;;
4007134019072;10.75;1;;;;
4007134019089;10.75;1;;;;
4007134019096;10.75;1;;;;
4007134019102;10.75;1;;;;
4007134019119;10.75;1;;;;
4007134019225;98.2;1;;;;
4007134019232;98.2;1;;;;
4007134019249;98.2;1;;;;
4007134019256;98.2;1;;;;
4007134019263;98.2;1;;;;
4007134019287;8.75;1;;;;
4007134019294;8.75;1;;;;
4007134019300;8.75;1;;;;
4007134019317;8.75;1;;;;
4007134019324;8.75;1;;;;
4007134019331;9.4;1;;;;
4007134019348;9.4;1;;;;
4007134019355;9.4;1;;;;
4007134019362;9.4;1;;;;
4007134019379;9.4;1;;;;
4007134019386;10.1;1;;;;
4007134019393;10.1;1;;;;
4007134019409;10.1;1;;;;
4007134019416;10.1;1;;;;
4007134019423;10.1;1;;;;
4007134019461;20.2;1;;;;
4007134019485;20.2;1;;;;
4007134019492;20.2;1;;;;
4007134019508;22.2;1;;;;
4007134019515;22.2;1;;;;
4007134019522;22.2;1;;;;
4007134019539;20.2;1;;;;
4007134019546;20.2;1;;;;
4007134019553;20.2;1;;;;
4007134019560;20.9;1;;;;
4007134019577;20.9;1;;;;
4007134019584;20.9;1;;;;
4007134019591;22.9;1;;;;
4007134019607;22.9;1;;;;
4007134019614;22.9;1;;;;
4007134019621;26.3;1;;;;
4007134019638;26.3;1;;;;
4007134019645;26.3;1;;;;
4007134019652;29;1;;;;
4007134019669;29;1;;;;
4007134019676;29;1;;;;
4007134019683;32.4;1;;;;
4007134019690;40.5;1;;;;
4007134019713;58.4;1;;;;
4007134019737;58.4;1;;;;
4007134019812;24.3;1;;;;
4007134019829;24.3;1;;;;
4007134019836;24.3;1;;;;
4007134019843;17.55;1;;;;
4007134019850;17.55;1;;;;
4007134019867;17.55;1;;;;
4007134020290;67;1;;;;
4007134020313;67;1;;;;
4007134020337;75.2;0;;;;
4007134020351;75.2;1;;;;
4007134020375;83.8;1;;;;
4007134020399;83.8;1;;;;
4007134020412;101.25;1;;;;
4007134020436;101.25;1;;;;
4007134020603;167;0;;;;
4007134020627;251;1;;;;
4007134400245;15.9;1;;;;
4007134400276;18.6;1;;;;
4007134400313;21.3;1;;;;
4007134400436;33.6;1;;;;
4007134401518;22;1;;;;
4007134403666;56.3;1;;;;
4007134403697;97;1;;;;
4007134403949;28.5;0;;;;
4007134403987;48.9;1;;;;
4007134404106;5.1;1;;;;
4007134404700;6.3;1;;;;
4007134405059;109.5;1;;;;
4007134406063;4.3;1;;;;
4007134406100;5.9;1;;;;
4007134406520;4.7;0;;;;
4007134406780;17;1;;;;
4007134406957;6.6;1;;;;
4007134406971;4.3;1;;;;
4007134410336;39.8;0;;;;
4007134411500;16.6;1;;;;
4007134411609;20.4;0;;;;
4007134420533;31.1;1;;;;
4007134420601;37.6;0;;;;
4007134421257;28;1;;;;
4007134421455;82.3;0;;;;
4007134421752;89.2;1;;;;
4007134500044;18.9;1;;;;
4007134500105;40;1;;;;
4007134500112;48.5;1;;;;
4007134500334;3.85;1;;;;
4007134500372;4.5;1;;;;
4007134500419;29.4;1;;;;
4007134500457;14.9;1;;;;
4007134500808;10.3;0;;;;
4007134500815;24.1;0;;;;
4007134500846;24.1;1;;;;
4007134500907;53.8;1;;;;
4007134521001;14.1;1;;;;
4007134521254;25.9;1;;;;
4007134521353;32.6;1;;;;
4007134536432;69.7;1;;;;
4007134536838;89;1;;;;
4007134554931;35.3;1;;;;
4007134922051;13.5;1;;;;
4007134948204;56.6;0;;;;
4007134948402;80.8;0;;;;
4007134952058;22.7;1;;;;
4007134954366;8.8;1;;;;
4007134954380;8.8;1;;;;
